LOOKUP,RETURN,REGION
QUEENSCLIFFE BOROUGH,Queenscliffe (B),Regional
Randwick (C),Randwick (C),Interstate
Redland (C),Redland (C),Interstate
Renmark Paringa (DC),Renmark Paringa (DC),Interstate
Richmond Valley (A),Richmond Valley (A),Interstate
Rockdale (C),Rockdale (C),Interstate
Rockhampton (R),Rockhampton (R),Interstate
Rockingham (C),Rockingham (C),Interstate
Roper Gulf (R),Roper Gulf (R),Interstate
Roxby Downs (M),Roxby Downs (M),Interstate
Ryde (C),Ryde (C),Interstate
Salisbury (C),Salisbury (C),Interstate
Sandstone (S),Sandstone (S),Interstate
Scenic Rim (R),Scenic Rim (R),Interstate
Serpentine-Jarrahdale (S),Serpentine-Jarrahdale (S),Interstate
Shark Bay (S),Shark Bay (S),Interstate
Shellharbour (C),Shellharbour (C),Interstate
Shoalhaven (C),Shoalhaven (C),Interstate
Singleton (A),Singleton (A),Interstate
Snowy River (A),Snowy River (A),Interstate
Somerset (R),Somerset (R),Interstate
Sorell (M),Sorell (M),Interstate
South Burnett (R),South Burnett (R),Interstate
South Gippsland (S),South Gippsland (S),Regional
SOUTH GIPPSLAND SHIRE,South Gippsland (S),Regional
South Perth (C),South Perth (C),Interstate
Southern Downs (R),Southern Downs (R),Interstate
Southern Grampians (S),Southern Grampians (S),Regional
SOUTHERN GRAMPIANS SHIRE,Southern Grampians (S),Regional
Southern Mallee (DC),Southern Mallee (DC),Interstate
Southern Midlands (M),Southern Midlands (M),Interstate
Stirling (C),Stirling (C),Interstate
Stonnington (C),Stonnington (C),Metro
STONNINGTON CITY,Stonnington (C),Metro
Strathbogie (S),Strathbogie (S),Regional
STRATHBOGIE SHIRE,Strathbogie (S),Regional
Strathfield (A),Strathfield (A),Interstate
Streaky Bay (DC),Streaky Bay (DC),Interstate
Subiaco (C),Subiaco (C),Interstate
Sunshine Coast (R),Sunshine Coast (R),Interstate
Surf Coast (S),Surf Coast (S),Regional
SURF COAST SHIRE,Surf Coast (S),Regional
Sutherland Shire (A),Sutherland Shire (A),Interstate
Swan (C),Swan (C),Interstate
Swan Hill (RC),Swan Hill (RC),Regional
SWAN HILL RURAL CITY,Swan Hill (RC),Regional
Sydney (C),Sydney (C),Interstate
Tablelands (R),Tablelands (R),Interstate
Tamworth Regional (A),Tamworth Regional (A),Interstate
Tasman (M),Tasman (M),Interstate
Tatiara (DC),Tatiara (DC),Interstate
Tea Tree Gully (C),Tea Tree Gully (C),Interstate
Temora (A),Temora (A),Interstate
Tenterfield (A),Tenterfield (A),Interstate
The Coorong (DC),The Coorong (DC),Interstate
The Hills Shire (A),The Hills Shire (A),Interstate
Toowoomba (R),Toowoomba (R),Interstate
Torres Strait Island (R),Torres Strait Island (R),Interstate
Townsville (C),Townsville (C),Interstate
Towong (S),Towong (S),Regional
TOWONG SHIRE,Towong (S),Regional
Tumbarumba (A),Tumbarumba (A),Interstate
Tumut Shire (A),Tumut Shire (A),Interstate
Tweed (A),Tweed (A),Interstate
Unincorporated ACT,Unincorporated ACT,Interstate
Unincorporated NSW,Unincorporated NSW,Interstate
Unincorporated NT,Unincorporated NT,Interstate
Unincorporated Vic,Unincorporated Vic,Other
Unknown,Unknown,Interstate
Unley (C),Unley (C),Interstate
Upper Hunter Shire (A),Upper Hunter Shire (A),Interstate
Upper Lachlan Shire (A),Upper Lachlan Shire (A),Interstate
Uralla (A),Uralla (A),Interstate
Urana (A),Urana (A),Interstate
Victor Harbor (C),Victor Harbor (C),Interstate
